INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gm58z9u', '이미선', 'eNlIkY7@naver.com', '010-3610-9139', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('idZJhqf', '배경자', 'TfwXDnW@gmail.com', '010-2845-9308', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F42Q6I7', '하동환', 'tZIE4sI@yahoo.com', '010-6971-9919', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vf5ZiKm', '유동주', '36qkHsg@nate.com', '010-6412-7324', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('bJcR1GC', '윤유현', 'XGwrYAm@gmail.com', '010-1960-3512', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('h1BfrZz', '남궁진경', 'H4gu0wZ@nate.com', '010-3858-5991', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('N2qpbZI', '남궁영연', 'h1BfrZz@nate.com', '010-9766-6858', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gzJuSZc', '전승하', 'er5iemG@naver.com', '010-0656-8905', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('L5i6GI1', '성문혁', 'sIfAHTs@naver.com', '010-6834-8182', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0HlUjbO', '봉승호', 'tZIE4sI@nate.com', '010-1163-7150', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Nrx9bmv', '한광민', 'OpEpFTI@naver.com', '010-9369-2922', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('WDrk5I1', '한지윤', 'bdehn1l@daum.net', '010-5614-5662', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rgyxgmV', '성문혁', 'OpEpFTI@naver.com', '010-9662-1941', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('XGwrYAm', '표영자', 'FtLJLMe@hanmail.net', '010-5292-7750', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F9mSW1h', '제갈성원', 'etUo3QZ@nate.com', '010-4568-6535', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0whftlF', '남궁종남', '56QQOZd@nate.com', '010-4825-7133', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('9HmcCBa', '전원경', 'rTkrB1R@naver.com', '010-6603-8732', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('IagiDOj', '성진호', 'idZJhqf@naver.com', '010-4158-1817', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('56QQOZd', '봉승호', 'tBFk366@naver.com', '010-6005-9280', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('TCVH3Ez', '정진희', 'Bv0l4MP@yahoo.com', '010-0286-9178', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('HjK4Bji', '사공상현', 'yZlevrh@gmail.com', '010-9992-0622', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Pp6Lbxj', '윤신우', 'T94cnsk@yahoo.com', '010-5417-8398', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vGuD8BH', '한광민', 'idZJhqf@daum.net', '010-0773-0770', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('QxHGfHM', '이재용', 'F42Q6I7@hanmail.net', '010-1824-6933', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('YsT2kpG', '하동환', 'ZRcDmPz@hanmail.net', '010-6565-1187', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('O4lVB4D', '남궁호정', 'F9mSW1h@nate.com', '010-7673-5735', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('AmhTTDS', '제갈선영', 'Tg9pg1a@daum.net', '010-6448-2254', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('LGSfMvh', '장성준', 'rcjIA89@nate.com', '010-3697-2196', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('jB55m0f', '노기호', 'Ob3g9wN@gmail.com', '010-6922-2342', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('mbt65PR', '사공원일', 'RY1RpuG@nate.com', '010-2937-7172', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rVk7wjk', '봉승호', 'BTKzTk3@gmail.com', '010-1175-9204', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('hEQp0YS', '황태석', '1hEbaIR@hanmail.net', '010-8864-5106', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('UxXAmrn', '남궁진경', 'Otdb2FW@daum.net', '010-2407-8611', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('I8XeEw8', '한지윤', 'Bv0l4MP@nate.com', '010-8299-3262', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('TfwXDnW', '성진호', 'h3xtQkU@daum.net', '010-5308-0816', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('tXfA7MJ', '남궁다현', 'mbt65PR@hanmail.net', '010-2425-4448', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Bv0l4MP', '예성훈', 'kWg5b32@daum.net', '010-1036-8014', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('uIYd1lY', '조병하', '9CQ1ODx@nate.com', '010-4845-7974', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('sIfAHTs', '권인혁', '9HmcCBa@hanmail.net', '010-0245-3442', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('118aK9c', '권범준', 'kHn0N1f@nate.com', '010-0910-5765', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rcjIA89', '조재숙', 'dr0nB9B@gmail.com', '010-7191-2835', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('eNlIkY7', '남궁순재', 'LGSfMvh@hanmail.net', '010-2208-3843', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('OpEpFTI', '황보은식', 'mbt65PR@naver.com', '010-8377-6475', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('kHn0N1f', '표영자', 'M1AiCLx@daum.net', '010-0645-7213', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('RY1RpuG', '한경옥', 'Hix5po9@naver.com', '010-4730-5011', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('yZlevrh', '유동환', 'A5zCLLK@gmail.com', '010-7841-5415', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('1ebJeJJ', '손기철', 'NdH3qj7@daum.net', '010-2393-5472', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('HlkQijz', '제갈윤자', '9CQ1ODx@yahoo.com', '010-7222-4078', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('1hEbaIR', '이민국', '118aK9c@hanmail.net', '010-5166-0387', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('etUo3QZ', '황보선희', 'LGSfMvh@yahoo.com', '010-1023-3254', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('W0A1VI3', '남궁호정', 'Ob3g9wN@daum.net', '010-9334-3451', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('ZRcDmPz', '안연자', 'gDfYsVG@nate.com', '010-2354-4229', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('FtLJLMe', '황진수', 'kHn0N1f@gmail.com', '010-7168-9725', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('bdehn1l', '전희욱', 'vGuD8BH@daum.net', '010-8778-8697', 'passwd', 0, '뉴비');
