INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gm58z9u', '남준수', 'rTkrB1R@hanmail.net', '010-2108-5316', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('idZJhqf', '표영자', 'h1BfrZz@daum.net', '010-9806-9407', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F42Q6I7', '임미주', 'W0A1VI3@daum.net', '010-4021-1901', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vf5ZiKm', '남궁진경', 'dr0nB9B@yahoo.com', '010-0126-5672', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('bJcR1GC', '황보혜경', 'tBFk366@hanmail.net', '010-4478-6071', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('h1BfrZz', '강태환', 'h3xtQkU@yahoo.com', '010-8852-2632', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('N2qpbZI', '장소정', '0whftlF@gmail.com', '010-0826-5358', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gzJuSZc', '임현희', 'H4gu0wZ@nate.com', '010-6686-0218', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('L5i6GI1', '황태석', 'Hah8gQt@naver.com', '010-0445-9559', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0HlUjbO', '설규빈', 'eNlIkY7@hanmail.net', '010-3218-8222', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Nrx9bmv', '한지윤', 'Tg9pg1a@yahoo.com', '010-3778-2032', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('WDrk5I1', '유동환', 'T94cnsk@naver.com', '010-0607-4897', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rgyxgmV', '성문혁', '84xi73j@hanmail.net', '010-3805-0031', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('XGwrYAm', '이민국', '1hEbaIR@nate.com', '010-7134-2529', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F9mSW1h', '제갈선영', 'idZJhqf@daum.net', '010-0488-7708', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0whftlF', '표영자', 'NdH3qj7@yahoo.com', '010-9455-9225', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('9HmcCBa', '오정훈', '0whftlF@hanmail.net', '010-6643-7841', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('IagiDOj', '예성훈', 'Hah8gQt@hanmail.net', '010-6041-8137', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('56QQOZd', '성창재', 'Pp6Lbxj@nate.com', '010-2829-7445', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('TCVH3Ez', '제갈선영', 'er5iemG@hanmail.net', '010-4531-4294', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('HjK4Bji', '임현희', 'bdehn1l@nate.com', '010-4120-1616', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Pp6Lbxj', '전희욱', 'tXfA7MJ@hanmail.net', '010-2395-4519', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vGuD8BH', '남성현', 'LTVHM1n@yahoo.com', '010-2689-9851', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('QxHGfHM', '한경옥', 'eNlIkY7@naver.com', '010-5404-6642', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('YsT2kpG', '문경옥', 'A5zCLLK@naver.com', '010-4879-3097', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('O4lVB4D', '표영자', 'Otdb2FW@naver.com', '010-0011-0980', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('AmhTTDS', '추주은', 'sIfAHTs@gmail.com', '010-1480-8269', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('LGSfMvh', '전승하', 'iSxvWyG@nate.com', '010-1551-6481', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('jB55m0f', '이미선', '56QQOZd@hanmail.net', '010-9146-9336', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('mbt65PR', '한지윤', 'IagiDOj@nate.com', '010-2271-5662', 'passwd', 0);
