INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gm58z9u', '황보인옥', 'NdH3qj7@gmail.com', '010-9616-2699', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('idZJhqf', '사공상현', 'yZlevrh@yahoo.com', '010-1803-0332', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F42Q6I7', '남궁순재', 'LTVHM1n@naver.com', '010-6493-3162', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vf5ZiKm', '한경옥', 'Hix5po9@nate.com', '010-9638-1272', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('bJcR1GC', '남궁진경', 'n2jQmww@hanmail.net', '010-8331-7129', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('h1BfrZz', '황태석', 'tZIE4sI@daum.net', '010-8372-1125', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('N2qpbZI', '이민희', 'XGwrYAm@daum.net', '010-5750-3310', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gzJuSZc', '남궁진경', 'TCVH3Ez@yahoo.com', '010-0203-5378', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('L5i6GI1', '오정훈', 'kHn0N1f@gmail.com', '010-7469-1970', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0HlUjbO', '황보선희', '1RRBmOT@daum.net', '010-7356-3375', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Nrx9bmv', '예성훈', 'FtLJLMe@naver.com', '010-6584-8499', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('WDrk5I1', '남궁진경', 'CVffmiG@nate.com', '010-7627-3071', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rgyxgmV', '이민희', 'VCMqu48@yahoo.com', '010-4410-2779', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('XGwrYAm', '표영자', 'h1BfrZz@daum.net', '010-2784-2666', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('F9mSW1h', '윤유현', 'cCrG6wA@nate.com', '010-4586-1391', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('0whftlF', '복경희', 'CVffmiG@yahoo.com', '010-5754-8423', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('9HmcCBa', '조재숙', 'N2qpbZI@nate.com', '010-0420-5844', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('IagiDOj', '오재호', 'rcjIA89@hanmail.net', '010-5293-2045', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('56QQOZd', '전희욱', 'CZKmbwH@yahoo.com', '010-6683-6249', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('TCVH3Ez', '강태환', 'gDfYsVG@naver.com', '010-8720-4075', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('HjK4Bji', '설규빈', 'L5i6GI1@nate.com', '010-1431-1304', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Pp6Lbxj', '이재용', 'FR1RrFz@yahoo.com', '010-2766-2027', 'passwd', 0);
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('vGuD8BH', '유동주', 'iGyqCkv@nate.com', '010-2027-6792', 'passwd', 0);
